channel,delta_RMSE,rmse_perm
Fp1,7.745029506622814e-08,5.162269644642947e-06
Pz,6.390473572537303e-08,5.148724085302092e-06
Fp2,2.9597231332445517e-08,5.114416580909165e-06
O1,2.343904270674102e-08,5.10825839228346e-06
C4,1.261150828213431e-08,5.097430857858853e-06
O2,5.790298018837348e-09,5.0906096475955565e-06
C3,5.332822183845565e-09,5.090152171760565e-06
Cz,3.4847289498429745e-09,5.088304078526562e-06
Fz,2.7880560082849115e-09,5.087607405585004e-06
